Product Name,Image URL,Dominant Color (RGB)
Libre,https://cdn2.parfumdreams.de/image/product/16816-11176-7-44.webp?box=211,"(253, 253, 251)"
La vie est belle,https://cdn2.parfumdreams.de/image/product/97876-151116-0-14.webp?box=211,"(249, 247, 246)"
Black Opium,https://cdn2.parfumdreams.de/image/product/94119-145327-0-8.webp?box=211,"(159, 122, 69)"
Paradoxe,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)"
Goddess,https://cdn2.parfumdreams.de/image/product/104765-162965-0-36.webp?box=211,"(245, 240, 229)"
Chloé,https://cdn2.parfumdreams.de/image/product/49408-70676-2-25.webp?box=211,"(251, 250, 245)"
Unisex fragrances,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(36, 34, 28)"
Donna Born In Roma,https://cdn2.parfumdreams.de/image/product/92045-142105-0-31.webp?box=211,"(56, 55, 56)"
Alien,https://cdn2.parfumdreams.de/image/product/104642-162723-0-131.webp?box=211,"(225, 202, 161)"
Si,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)"
Libre,https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)"
Idôle,https://cdn2.parfumdreams.de/image/product/12130-3624-2-21.webp?box=211,"(250, 247, 243)"
Women's fragrances,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)"
Paradoxe,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)"
Emporio Armani,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)"
Libre,https://cdn2.parfumdreams.de/image/product/47343-67219-0-41.webp?box=211,"(52, 46, 48)"
Idôle,https://cdn2.parfumdreams.de/image/product/12130-3624-2-21.webp?box=211,"(250, 247, 243)"
Women's fragrances,https://cdn2.parfumdreams.de/image/product/135630-219083-0-0.webp?box=211,"(250, 248, 241)"
Paradoxe,https://cdn2.parfumdreams.de/image/product/131836-211508-0-0.webp?box=211,"(246, 233, 233)"
Emporio Armani,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(131, 60, 40)"
Spices,https://cdn2.parfumdreams.de/image/product/97684-0-0-2.webp?box=211,"(92, 64, 91)"
My Way,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(131, 60, 40)"
Emporio Armani You,https://cdn2.parfumdreams.de/image/product/115229-181856-0-70.webp?box=211,"(251, 251, 251)"
BOSS Alive,https://cdn2.parfumdreams.de/image/product/12851-4812-0-1.webp?box=211,"(250, 249, 244)"
Pour Femme,https://cdn2.parfumdreams.de/image/product/33255-204325-1-23.webp?box=211,"(245, 245, 245)"
for her,https://cdn2.parfumdreams.de/image/product/109953-171759-0-18.webp?box=211,"(54, 42, 44)"
Trésor,https://cdn2.parfumdreams.de/image/product/86787-144557-24-64.webp?box=211,"(249, 191, 180)"
for her,https://cdn2.parfumdreams.de/image/product/109953-171759-0-18.webp?box=211,"(54, 42, 44)"
L'Interdit,https://cdn2.parfumdreams.de/image/product/132095-212190-0-0.webp?box=211,"(250, 250, 250)"
di Gioia,https://cdn2.parfumdreams.de/image/product/97812-151019-1-30.webp?box=211,"(250, 247, 246)"
