name,collection,price,customer_rating,head_note,heart_note,base_note,description,character,fragrance
Libre,Yves Saint Laurent,52.20,4.9,"lavender, mandarin, neroli","jasmine, orange","musk, tonka bean, vanilla","Eau de Parfum Spray,",,"floral, oriental"
La vie est belle,Lancôme,24.00,4.7,iris,"jasmine, orange blossom, patchouli","tonka bean, vanilla","Eau de Parfum Spray refillable,","arromatic, elegant, feminine, oriental",floral
Black Opium,Yves Saint Laurent,47.45,4.6,"orange, pear, pepper","coffee, jasmine, liquorice","cashmeran, cedar, patchouli, vanilla","Eau de Parfum Spray,",,"floral, oriental"
Paradoxe,Prada,55.32,4.8,neroli,Ambrofix,musk,"Eau de Parfum Spray - refillable,",powdery,powdery
Goddess,Burberry,49.98,4.8,vanilla,vanilla,vanilla,"Eau de Parfum Spray,",,
Chloé,Chloé,23.01,4.6,"freesia, lychee, peony","lily of the valley, magnolia, rose","amber, cedar","Eau de Parfum Spray,",,floral
Unisex fragrances,Lattafa,29.80,5.0,"bergamot, cinnamon, nutmeg","lily of the valley, praline, tuberose","amber wood, benzoin, myrrh, tonka bean, vanilla, wood","Eau de Parfum Spray, Khamra",,"spicy, sweet"
Donna Born In Roma,Valentino,54.45,4.7,jasminum sambac,cashmeran,vanilla,"Eau de Parfum Spray,",,wooden
Alien,MUGLER,48.61,4.9,jasminum sambac,wood,amber,"Eau de Parfum Spray Refillable,",unique,"floral, oriental"
Si,Armani,47.74,4.7,"bergamot, blackcurrant, vanilla","freesia, patchouli, rose","musk, orcanox","Eau de Parfum Spray - Refillable,",,"floral, fruity"
Libre,Yves Saint Laurent,54.72,4.8,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla","Eau de Parfum Spray Intense,",,fruity
Idôle,Lancôme,22.95,4.8,jasmine,rose,chypre,"Eau de Parfum Spray,",,floral
Women's fragrances,Lattafa,21.19,0.0,"heliotrope, mandarin, orchid",,"musk, sandalwood, vanilla","Eau de Parfum Spray, Yara",,powdery
Paradoxe,Prada,59.98,5.0,"bergamot, neroli, pear","jasmine, moss, neroli","amber, musk, vanilla","Eau de Parfum Spray Intense - refillable,",,floral
Emporio Armani,Armani,44.13,4.7,pear,jasmine,musk,"Eau de Parfum Spray, Emporio She",feminine,"floral, oriental"
Libre,Yves Saint Laurent,54.72,4.8,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla","Eau de Parfum Spray Intense,",,fruity
Idôle,Lancôme,22.95,4.8,jasmine,rose,chypre,"Eau de Parfum Spray,",,floral
Women's fragrances,Lattafa,21.19,0.0,"heliotrope, mandarin, orchid",,"musk, sandalwood, vanilla","Eau de Parfum Spray, Yara",,powdery
Paradoxe,Prada,59.98,5.0,"bergamot, neroli, pear","jasmine, moss, neroli","amber, musk, vanilla","Eau de Parfum Spray Intense - refillable,",,floral
Emporio Armani,Armani,44.13,4.7,pear,jasmine,musk,"Eau de Parfum Spray, Emporio She",feminine,"floral, oriental"
Spices,Montale,118.86,4.3,"bergamot, saffron","amber, oud, rose","amber, brown sugar, musk, oakmoss, tonka bean","Eau de Parfum Spray, Arabians Tonka",,oriental
My Way,Armani,52.20,4.7,"bergamot, orange","jasmine, tuberose","musk, vanilla","Eau de Parfum Spray - Refillable,",,floral
Emporio Armani You,Armani,52.98,4.6,"bergamot, elemi","davana, lavender","cedar, patchouli, vanilla","Parfum Spray, Absolutely","irresistible, masculine, oriental, seductive, sensual",fruity
BOSS Alive,Hugo Boss,43.05,4.8,"apple, plum","cedar, jasmine","sandalwood, vanilla","Eau de Parfum Spray,",,"fruity , wooden"
Pour Femme,Lacoste,39.88,4.7,"freesia, pepper","heliotrope, hibiscus, jasmine","cedar, incense, sandalwood","Eau de Parfum Spray,","elegant, feminine, vitalising","floral, spicy"
for her,Narciso Rodriguez,69.60,5.0,,,,"Eau de Parfum Spray Intense,",,
Trésor,Lancôme,13.24,4.7,"apricot, peach, rose","iris, lily of the valley, vanilla","musk, sandalwood","Eau de Parfum Spray,","elegant, feminine, oriental, seductive",floral
for her,Narciso Rodriguez,68.10,4.2,"jasmine, orange blossom",musk,"ambra, cashmere, patchouli","Eau de Parfum Spray, Pure Musc",,chypre
L'Interdit,GIVENCHY,40.63,4.9,"blood orange, ginger, spices","jasmine, orange, tuberose","patchouli, sandalwood, vetiver","Eau de Parfum Spray, Rouge",oriental,"floral, wooden"
di Gioia,Armani,45.55,4.8,"aquatic notes, lemon, mint","jasmine, peony, pepper","cedar, resin, sugar","Eau de Parfum Spray, Acqua di Gioia",vitalising,floral
